id,predicted_label,true_label,is_correct,confidence
195_1,195,195,True,99.91%
195_2,195,195,True,95.89%
195_3,195,195,True,99.53%
195_4,195,195,True,99.74%
195_5,195,195,True,99.98%
195_6,195,195,True,100.00%
196_1,196,196,True,99.89%
196_2,196,196,True,99.94%
196_3,196,196,True,39.33%
196_4,196,196,True,72.22%
196_5,196,196,True,96.53%
196_6,196,196,True,63.87%
197_1,197,197,True,99.74%
197_2,197,197,True,93.56%
197_3,197,197,True,99.52%
197_4,197,197,True,99.06%
197_5,197,197,True,94.77%
197_6,197,197,True,98.37%
199_1,199,199,True,55.61%
199_2,199,199,True,93.39%
199_3,199,199,True,69.55%
199_4,199,199,True,62.53%
199_5,199,199,True,65.63%
199_6,199,199,True,89.25%
200_1,200,200,True,100.00%
200_2,200,200,True,100.00%
200_3,200,200,True,71.90%
200_4,200,200,True,99.98%
200_5,200,200,True,99.99%
200_6,200,200,True,99.99%
201_1,201,201,True,99.89%
201_2,201,201,True,99.98%
201_3,201,201,True,99.99%
201_4,201,201,True,100.00%
201_5,201,201,True,99.99%
201_6,201,201,True,100.00%
202_1,202,202,True,100.00%
202_2,202,202,True,99.99%
202_3,202,202,True,100.00%
202_4,202,202,True,100.00%
202_5,202,202,True,100.00%
202_6,202,202,True,100.00%
203_1,203,203,True,99.95%
203_2,203,203,True,99.97%
203_3,203,203,True,99.94%
203_4,203,203,True,99.98%
203_5,203,203,True,99.96%
203_6,203,203,True,99.96%
204_1,190,204,False,84.11%
204_2,204,204,True,70.66%
204_3,204,204,True,69.31%
204_4,204,204,True,70.00%
204_5,204,204,True,97.36%
204_6,204,204,True,72.34%
205_1,205,205,True,99.94%
205_2,205,205,True,99.93%
205_3,205,205,True,99.91%
205_4,205,205,True,99.99%
205_5,205,205,True,100.00%
205_6,205,205,True,100.00%
206_1,206,206,True,99.98%
206_2,206,206,True,99.97%
206_3,206,206,True,98.07%
206_4,206,206,True,99.90%
206_5,206,206,True,99.94%
206_6,206,206,True,99.95%
207_1,207,207,True,99.81%
207_2,207,207,True,99.35%
207_3,207,207,True,99.98%
207_4,207,207,True,99.94%
207_5,207,207,True,99.72%
207_6,207,207,True,99.97%
209_1,209,209,True,99.89%
209_2,209,209,True,99.63%
209_3,209,209,True,75.56%
209_4,209,209,True,95.76%
209_5,209,209,True,99.47%
209_6,209,209,True,99.81%
210_1,210,210,True,99.98%
210_2,210,210,True,100.00%
210_3,210,210,True,100.00%
210_4,210,210,True,99.97%
210_5,210,210,True,99.99%
210_6,210,210,True,99.99%
212_1,212,212,True,98.95%
212_2,212,212,True,97.80%
212_3,212,212,True,82.27%
212_4,212,212,True,65.26%
212_5,212,212,True,99.97%
212_6,212,212,True,99.99%
213_1,213,213,True,99.77%
213_2,213,213,True,98.29%
213_3,213,213,True,98.82%
213_4,213,213,True,98.60%
213_5,213,213,True,99.46%
213_6,213,213,True,99.51%
214_1,214,214,True,99.83%
214_2,214,214,True,99.69%
214_3,214,214,True,96.73%
214_4,214,214,True,98.70%
214_5,214,214,True,53.34%
214_6,214,214,True,93.79%
215_1,215,215,True,97.60%
215_2,215,215,True,96.23%
215_3,215,215,True,88.62%
215_4,213,215,False,83.37%
215_5,215,215,True,73.48%
215_6,215,215,True,79.07%
216_1,216,216,True,75.66%
216_2,216,216,True,95.91%
216_3,216,216,True,45.44%
216_4,168,216,False,44.81%
216_5,213,216,False,21.72%
216_6,168,216,False,57.03%
217_1,217,217,True,75.87%
217_2,217,217,True,96.01%
217_3,233,217,False,60.69%
217_4,209,217,False,50.90%
217_5,209,217,False,88.11%
217_6,217,217,True,52.51%
224_1,224,224,True,99.40%
224_2,224,224,True,81.51%
224_3,224,224,True,99.98%
224_4,224,224,True,99.90%
224_5,224,224,True,99.83%
224_6,224,224,True,100.00%
225_1,225,225,True,96.31%
225_2,225,225,True,99.81%
225_3,225,225,True,99.96%
225_4,225,225,True,99.96%
225_5,225,225,True,100.00%
225_6,225,225,True,99.99%
226_1,226,226,True,99.99%
226_2,226,226,True,99.93%
226_3,226,226,True,98.47%
226_4,226,226,True,99.97%
226_5,226,226,True,99.59%
226_6,226,226,True,99.87%
227_1,227,227,True,99.95%
227_2,227,227,True,99.90%
227_3,227,227,True,94.00%
227_4,227,227,True,98.96%
227_5,227,227,True,98.42%
227_6,227,227,True,99.48%
228_1,228,228,True,99.98%
228_2,228,228,True,99.97%
228_3,228,228,True,99.98%
228_4,228,228,True,100.00%
228_5,228,228,True,100.00%
228_6,228,228,True,99.99%
229_1,210,229,False,99.88%
229_2,210,229,False,99.98%
229_3,210,229,False,99.99%
229_4,210,229,False,99.81%
229_5,210,229,False,99.95%
229_6,210,229,False,99.99%
230_1,230,230,True,52.63%
230_2,230,230,True,70.15%
230_3,210,230,False,73.08%
230_4,230,230,True,70.25%
230_5,230,230,True,78.05%
230_6,230,230,True,85.55%
231_1,248,231,False,38.92%
231_2,231,231,True,92.42%
231_3,202,231,False,56.26%
231_4,202,231,False,47.26%
231_5,231,231,True,82.23%
231_6,231,231,True,84.34%
232_1,216,232,False,30.89%
232_2,232,232,True,13.61%
232_3,213,232,False,28.98%
232_4,210,232,False,31.52%
232_5,210,232,False,72.06%
232_6,209,232,False,16.74%
233_1,233,233,True,98.57%
233_2,233,233,True,99.34%
233_3,233,233,True,97.57%
233_4,233,233,True,98.18%
233_5,233,233,True,82.54%
233_6,233,233,True,85.03%
234_1,210,234,False,18.32%
234_2,234,234,True,99.75%
234_3,234,234,True,89.00%
234_4,234,234,True,50.21%
234_5,234,234,True,87.87%
234_6,234,234,True,99.94%
236_1,236,236,True,99.99%
236_2,236,236,True,99.99%
236_3,236,236,True,99.91%
236_4,236,236,True,81.73%
236_5,236,236,True,99.99%
236_6,236,236,True,99.99%
240_1,240,240,True,62.22%
240_2,240,240,True,94.99%
240_3,240,240,True,93.13%
240_4,240,240,True,99.77%
240_5,240,240,True,62.18%
240_6,240,240,True,87.27%
241_1,241,241,True,100.00%
241_2,241,241,True,89.41%
241_3,241,241,True,99.98%
241_4,241,241,True,100.00%
241_5,241,241,True,99.99%
241_6,241,241,True,99.96%
242_1,242,242,True,100.00%
242_2,242,242,True,99.71%
242_3,242,242,True,99.99%
242_4,242,242,True,100.00%
242_5,242,242,True,99.80%
242_6,242,242,True,94.67%
243_1,243,243,True,100.00%
243_2,243,243,True,99.78%
243_3,243,243,True,98.85%
243_4,243,243,True,99.99%
243_5,243,243,True,99.86%
243_6,243,243,True,99.93%
244_1,244,244,True,99.98%
244_2,244,244,True,83.04%
244_3,231,244,False,28.51%
244_4,244,244,True,83.27%
244_5,244,244,True,29.11%
244_6,244,244,True,66.04%
245_1,245,245,True,100.00%
245_2,245,245,True,89.03%
245_3,245,245,True,53.02%
245_4,245,245,True,98.91%
245_5,245,245,True,98.85%
245_6,245,245,True,95.30%
246_1,246,246,True,100.00%
246_2,246,246,True,99.70%
246_3,246,246,True,99.02%
246_4,246,246,True,99.74%
246_5,246,246,True,92.19%
246_6,246,246,True,67.17%
247_1,247,247,True,99.99%
247_2,247,247,True,88.57%
247_3,247,247,True,96.06%
247_4,247,247,True,97.39%
247_5,243,247,False,32.52%
247_6,247,247,True,61.83%
248_1,248,248,True,99.93%
248_2,231,248,False,74.66%
248_3,231,248,False,72.13%
248_4,248,248,True,73.99%
248_5,248,248,True,52.06%
248_6,248,248,True,75.33%
249_1,249,249,True,100.00%
249_2,210,249,False,81.48%
249_3,202,249,False,62.02%
249_4,202,249,False,98.63%
249_5,202,249,False,99.77%
249_6,202,249,False,93.49%
